,name,iso3,GRIDCODE,X1_en,X1_va,X1_fo,X2_en,X2_va,X2_fo,X2+Y_en,X2+Y_va,X2+Y_fo
0,Afghanistan,AFG,1589158.0,53324052383.185585,365708585555.1476,2490399601.6803803,4317056961.648163,24993327198.656548,253232917.2661152,3573052499510.75,505023765501.4136,158670663859.46875
1,Albania,ALB,87042.0,69803826944.0,179502066688.0,6529871136.0,10763164896.0,31731460384.0,911036460.0,4705589444608.0,723935195136.0,173152407040.0
2,Algeria,DZA,650105.0,444531434696.0,4329434436782.0,32239798658.25,40987577643.75,424945874234.0,2779361989.203125,14969400050174.0,5072605703806.0,769512415710.0
3,Angola,AGO,4400592.0,10869675.067382812,-102.0,2481225.549133301,28295469.859375,2151564.5634231567,1816824.28515625,4750938032.0,6074153022.5,497127295.421875
4,Argentina,ARG,9900129.0,6901119005217.531,2711722255275.595,1499862984619.836,3076531863619.4434,1456357600813.7925,648934585880.9536,196253998139029.78,22941349241296.24,10655850562592.459
5,Armenia,ARM,144727.0,66335824896.0,313763997440.0,3041032160.0,6632073344.0,25061410384.0,294468910.25,2123390697472.0,587657822208.0,98347290624.0
6,Aruba,ABW,55661.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0
7,Australia,AUS,12303693.0,528174189268.25,338031971691.8016,85772945180.3197,59380056131.30078,109430559670.04181,24390248405.857666,44792973479905.0,1579080234409.9062,1968502703581.6562
8,Austria,AUT,196207.0,1097110997248.0,4006240078160.0,28380405516.0,185655614408.0,713198000762.0,4905194253.75,65470377373696.0,8575844173824.0,1942777037952.0
9,Azerbaijan,AZE,107218.0,67813460032.0,118458914372.0,2277683929.6875,783676294.5,1363302228.0,25413052.859375,2561524248576.0,360335480848.0,95301888456.0
10,Bahrain,BHR,22911.0,0.0,0.0,0.0,1602769.5,10459365.0,152360.34375,142739392.0,30295412.0,3971540.0
11,Bangladesh,BGD,169658.0,472681504132.0,1602991661677.5,26077895654.75,16977184226.0,57946132221.25,937384941.625,102210429709312.0,10692151048228.0,1917586959716.0
12,Belarus,BLR,309350.0,114534420032.0,1904634451872.0,9011736257.0,60606092416.0,797716650496.0,4009917904.0,16522263511040.0,2641841911808.0,917676136960.0
13,Belgium,BEL,27729.0,170286653440.0,4931542450176.0,9496776704.0,31581676544.0,884494565376.0,1645733696.0,6417595498496.0,8066975137792.0,543525535744.0
14,Belize,BLZ,106206.0,1034204138.0,2368601436.0,268236253.5,11052614073.75,22719127385.875,2574237048.890625,187191128792.0,60552073864.0,9067116127.0
15,Benin,BEN,229699.0,15502443394.0,2401017963.3125,1299314265.4375,496349239.4453125,29196281.191406254,94956779.6373291,510973963902.0,28702559006.0,33494084262.0
16,Bolivia,BOL,2754741.0,7421899402.0,8944662214.0,1554720919.0,24262692247.902344,22934689737.84326,5090318386.03125,380870755781.5,72569587932.875,31453312446.46875
17,Bosnia and Herzegovina,BIH,16398.0,5170982912.0,37503062016.0,288574560.0,344187456.0,2645349120.0,19622810.0,766463705088.0,113814700032.0,21853624320.0
18,Botswana,BWA,1288474.0,-32.0,-32.0,-32.0,-32.0,-32.0,-32.0,-32.0,-32.0,-32.0
