,name,iso3,GRIDCODE,X1_en,X1_va,X1_fo,X2_en,X2_va,X2_fo,X2+Y_en,X2+Y_va,X2+Y_fo,Z_en,Z_va,Z_fo
0,Afghanistan,AFG,1589158.0,151674886632.28918,950947722825.3961,7810462379.450952,6092638019.247891,48521709012.12251,283650057.023855,13187306310964.0,1287091800056.793,626011138601.4375,50026856242176.0,12669979356672.0,8210835241216.0
1,Albania,ALB,87042.0,44076226048.0,99754143744.0,4399273728.0,36490767008.0,111479369088.0,3041634066.0,4731316912128.0,803683110912.0,175283006976.0,3314203869184.0,808513167360.0,557662662656.0
2,Algeria,DZA,650105.0,910032475778.375,9596584486808.0,64797791285.9375,10525645778.1875,113739729010.0,700803421.0859375,25547570517760.0,9936310729632.0,1367726810484.0,26459984375808.0,6500844480512.0,4401952367616.0
3,Angola,AGO,4400592.0,19651007396.638428,102466793.25149879,1459649469.7495117,21833389580.28755,831971376.0702966,1229992222.4695683,3148337462208.0,3227709947272.0,248415797176.5,38385069603072.0,9797210884864.0,6329282930960.0
4,Argentina,ARG,9900129.0,25681158812057.066,11976428953108.967,4941467853786.383,778139166181.8411,1828203586576.317,123973236537.16708,479199377902064.8,60469315480639.59,24187457643046.707,37850246883872.0,9312282981392.0,6370613905916.0
5,Armenia,ARM,144727.0,106170205696.0,519952888320.0,5258980216.0,7551685776.0,23356425504.0,314435768.5,3128612569088.0,920543079424.0,149582672384.0,5377952186368.0,1313093595136.0,901278883840.0
6,Aruba,ABW,55661.0,0.0,0.0,0.0,0.0,0.0,0.0,8480328.875,1188467.734375,105518.17578125,497380163584.0,121725984768.0,83431776256.0
7,Australia,AUS,12303693.0,3522364812623.2627,4609424356803.969,960412233765.2852,98970504058.49489,228024948141.02432,27185391594.936813,276542075442818.0,8083018127287.639,11868547726080.602,35890876050105.25,8773669675324.109,6085985530494.078
8,Austria,AUT,196207.0,968935699008.0,3553463785616.0,24662895247.75,215646048808.0,853520411131.0,6045990851.4375,59866566844416.0,8019559826688.0,1785298804992.0,12415525126144.0,3013786705920.0,2117830340608.0
9,Azerbaijan,AZE,107218.0,76401215766.0,133342367548.0,2565120922.375,904160762.0,1568725478.0,29064035.28125,2889688867712.0,405841518816.0,107493283780.0,4813109919744.0,1167827507200.0,805984580608.0
