,name,iso3,GRIDCODE,X1_en,X1_va,X1_fo,X2_en,X2_va,X2_fo,X2+Y_en,X2+Y_va,X2+Y_fo
98,Mexico,MEX,5188927.0,3143809005837.881,24548436784866.156,321245247928.0548,334356264526.136,2865281819515.1484,38642310374.65645,187215883302561.56,84419813265558.7,6259191774067.709
99,Mongolia,MNG,1352921.0,1336.6509399414062,-2.406388998031616,18.928400993347168,-8.74917507171623,-9.992946740239859,-9.973130105063317,13630332439.360413,77427502.19795519,430405193.87319374
100,Montenegro,MNE,67399.0,47114269632.0,166797391360.0,3522849588.0,14774367744.0,56348588032.0,1107217464.0,2785131397120.0,501354913792.0,82550409216.0
101,Morocco,MAR,573316.0,872656992408.9219,11673463497020.875,80443311283.28516,34061301397.125,434162111232.0,3117924022.3125,30686401792329.5,10571169497930.0,1581280486906.125
102,Mozambique,MOZ,3751245.0,102845647064.27905,37694623791.26609,8034260962.663521,50362277204.96651,33361862176.29013,4778771616.146682,7525324288964.3125,1418509091273.4268,415014008695.97656
103,Namibia,NAM,1196084.0,694646.5101985931,3902.11696254462,14907.53500905633,27050.33619689942,137.61833882331854,566.4105014801028,744970300.4980469,10910495.642578125,35204209.0881958
104,Nepal,NPL,66309.0,7674966400.0,4576188640.0,1962904816.0,147183196.0,104961220.0,15247765.25,1808976576512.0,111077569536.0,49819286528.0
105,Netherlands,NLD,53302.0,120410547968.0,3508586659840.0,7050126448.0,8660939904.0,268577382400.0,474460860.0,3429272760320.0,3854790492160.0,375860406784.0
106,New Zealand,NZL,1662617.0,29894879604.11035,189309789410.1399,1998887780.59375,3583829282.092285,22342382644.82202,238591298.22525024,348850688218.5,185545345793.3828,14237301650.804688
107,Nicaragua,NIC,439643.0,89554973736.89062,97879054236.58917,6961266512.96875,70251925588.0,90143739411.43066,4108143188.8828125,5444019716784.0,662926757941.0,219248751954.0
108,Niger,NER,651390.0,23320066270.23047,1310755851.295044,5857754454.703125,771430402.0742188,100825389.76757812,242299630.3623047,1890529209715.625,24768762743.759766,172356024208.6875
109,Nigeria,NGA,2366570.0,4358735876204.0,3248117948276.75,271763728437.25,629221804541.375,347026818608.4219,25016005713.664062,141659758334528.0,62900926888512.0,7731460892112.0
110,Norway,NOR,219060.0,5682088904.193787,250718386096.14355,327474295.8848877,10149310913.130249,427276895142.68604,561353869.7575238,3628864096339.4375,827823189980.8765,102869858665.06934
111,Oman,OMN,317719.0,2573917368.4375,18335475552.75,171076437.27246094,8683671413.21875,118048781403.28125,1009468258.6538086,903620576888.0,718127232366.0,28716802145.0
112,Pakistan,PAK,1070634.0,2230107613738.1035,8080119628780.369,139989369516.74158,75650572836.34277,254192161647.65503,4714751933.876404,209296699678134.0,8628461301226.039,8172265323646.25
113,Panama,PAN,351130.0,54812796890.0,200583669723.0,2234818179.40625,24958047740.642662,94699837759.4585,994012011.0117588,2231033927426.25,720829898898.0625,74470683968.25781
114,Papua New Guinea,PNG,2335994.0,16740368605.25,5880996215.15625,205678249.5908203,138249420163.8125,47980708762.75,1687727068.9990234,1600946319163.0,1930211203295.0,16304986589.304688
115,Paraguay,PRY,889714.0,59661633877.24059,43001433884.367905,13804310403.974892,28423394433.71875,19090663351.81836,6370119725.533203,1068483693741.4211,508461025183.77765,112174692937.64264
116,Peru,PER,2918790.0,9926630028.220703,46466591868.05863,884476903.7607422,17978708904.5222,94840721317.2931,1209619501.1965675,1308333628073.9492,1024460895531.977,67319910088.71637
117,Philippines,PHL,1983580.0,1689613514254.5,347104750348.375,40930713873.828125,2390446529579.0,540982222139.5,58094999484.5625,62997059741127.0,11224998681631.0,1077977697729.5
118,Poland,POL,514856.0,2296199931904.0,27730026086400.0,78312085536.0,733487699456.0,8123461851136.0,22664467216.0,161238728048640.0,31110609633280.0,7420180848640.0
119,Portugal,PRT,307495.0,685395029504.0,5699476244736.0,42499643032.0,156345602496.0,1507882583040.0,9393130436.0,21960910061568.0,18872680574976.0,883899675648.0
120,Puerto Rico,PRI,77022.0,2891057600.0,22654706176.0,283050896.0,2128866480.0,17118702528.0,211616978.0,21464713216.0,117816409088.0,3102708480.0
121,Republic of Moldova,MDA,61680.0,746793213952.0,2685789143040.0,59516111872.0,307401977856.0,996938907648.0,24215350784.0,20127087591424.0,4284463906816.0,758592929792.0
122,Romania,ROU,655721.0,5108361090048.0,12855084154880.0,422988030240.0,1461270852512.0,3018558010496.0,119423127012.0,253399679500288.0,32292104376320.0,7388383396864.0
123,Russia,RUS,11626932.0,15527955629996.906,55113846923793.11,1171628505568.9521,1617981473360.3306,8453710670711.452,114777621880.30914,749010587402600.2,71081140635644.44,28510979845683.21
124,Rwanda,RWA,65941.0,125525409792.0,1192187428864.0,26750999552.0,5172548928.0,30061788672.0,1063278592.0,4453772427264.0,38085596282880.0,617742761984.0
125,Saudi Arabia,SAU,1379168.0,107640579796.9375,1546461808843.5,8842570618.058594,57018135617.66016,950728884301.1406,5006479851.262451,9455969878675.0,2578080029883.0,314291969955.625
126,Senegal,SEN,216240.0,217949789710.5,153950493480.40234,19229286821.5625,13801039401.0,3103326603.352539,1239909075.0,5610245439632.0,70307046034.75,475936045670.0
127,Serbia,SRB,33163.0,250131808256.0,791022043136.0,19673092608.0,42229642240.0,134086098944.0,3334234496.0,15569276370944.0,2402010923008.0,425369550848.0
128,Sierra Leone,SLE,117672.0,10552733172.0,1452056080.0,120220431.3125,18718384256.0,2322418468.0,181173333.25,685058637312.0,154557591936.0,12786902312.0
129,Slovakia,SVK,87603.0,159153825792.0,1372249030656.0,4096631936.0,80513063936.0,766978605056.0,2374555584.0,11983930785792.0,2240805650432.0,512786137088.0
130,Solomon Islands,SLB,34896.0,0.0,0.0,0.0,142683872.0,55278028.0,1843814.5,1362294528.0,2156295680.0,7843843.5
131,Somalia,SOM,951284.0,66061044069.75,104033485888.875,2721693889.9882812,203882111.1503912,319962888.7539071,8390060.028686546,805943166541.1562,244291276394.14844,17639908946.354492
132,South Africa,ZAF,5019326.0,785971586565.0881,1553675199420.5854,73685006702.83533,22886352474.13739,61543173740.023926,2383424585.458847,47936822711633.91,6524550561126.783,1159713830033.4695
133,Spain,ESP,1072655.0,4231506012185.0,10725541311361.125,255422372106.07812,1449668074747.75,3762437193410.25,85822043783.50195,203962487613536.0,96469157781336.0,7073701666528.0
134,Sri Lanka,LKA,297090.0,481719620194.0,473147452116.0,16016924883.25,319450757584.0,326579441824.0,10723943514.0,11013514244352.0,2423288768320.0,234459186172.0
135,Sudan,SDN,3212537.0,634906435087.3398,181239216956.3175,43287698202.14258,34210474854.8584,10140953207.092606,2385510352.611084,26611792138633.062,1291241897370.2937,776279693544.3672
136,Suriname,SUR,182913.0,-2.0,-2.0,-2.0,276409771.6796875,24912548.24560547,5894094.395568848,19620989858.0,1046743140.0,335239935.0
137,Swaziland,SWZ,168606.0,16158003968.0,13178613440.0,1725350960.0,797845056.0,1050138501.0,87765920.0,920582586368.0,149645109248.0,22826760192.0
138,Sweden,SWE,381428.0,98922910943.49219,1488647524018.875,1869687979.453125,36854586489.5,455905431757.9358,588176820.5278168,30199104018073.0,1786977890289.1719,945335559947.0781
139,Syrian Arab Republic,SYR,292366.0,976899415296.0,4131713526272.0,52245222304.0,82959832732.0625,475528540057.34375,4695638936.303711,38215627202560.0,8837969814528.0,2039257445376.0
140,Taiwan,TWN,167711.0,359483730432.0,4296905897984.0,25701933824.0,40718128640.0,486469281792.0,2882787168.0,8195696873472.0,8751262015488.0,297784181760.0
141,Tajikistan,TJK,92324.0,74997845760.0,599747119104.0,2818773856.0,1108571410.0,8343669824.0,42048516.25,3355629387776.0,716935520256.0,144013614592.0
142,Thailand,THA,799795.0,3775230827205.0,4002516993948.375,125642417787.01562,1329439136580.0,1286263703248.0,45091835451.8125,248396409376896.0,11013798503276.0,6248880189321.0
143,The former Yugoslav Republic of Macedonia,MKD,34245.0,71195631616.0,211815714816.0,5004520704.0,23609954304.0,74532855808.0,1731209376.0,3419950120960.0,698333978624.0,128055997440.0
144,Timor-Leste,TLS,35587.0,347513888.0,8175027.0,63084436.0,798670720.0,20424810.0,144897728.0,204051759104.0,323739320320.0,7744665600.0
145,Trinidad and Tobago,TTO,85319.0,1167576832.0,3749993472.0,106476160.0,13027777003.0,38466042980.0,1125801953.0,67079216812.0,87103555089.0,5404346417.375
146,Tunisia,TUN,174876.0,505009134208.0,3614396662880.0,34148242183.25,4910268408.875,32250589716.0,314340643.5078125,13755359767616.0,5775701377248.0,660266057864.0
147,Turkey,TUR,1482634.0,3729403708400.8438,19456221286314.5,241971170614.3125,1590258432819.125,8074705386778.25,102741933173.20898,228062046172736.0,63492360549920.0,11070530400997.0
148,Turkmenistan,TKM,492171.0,287802025093.5,940395914036.0,9775714268.53125,6288047492.40625,30439271480.0,219118533.46679688,17586904604480.0,2158537936020.0,680136711842.0
149,Uganda,UGA,540006.0,257736587470.0,20522777092.75,33793211150.75,72857759936.0,6801511528.0,8221046084.0,14447159762944.0,64043816337408.0,1494887531264.0
