,name,iso3,GRIDCODE,X1_en,X1_va,X1_fo,X2_en,X2_va,X2_fo,X2+Y_en,X2+Y_va,X2+Y_fo
0,Afghanistan,AFG,1589158.0,89155639733.05571,681575214144.1501,4303103546.320908,7442348569.465065,47199066850.87749,389167340.9455879,6919210328107.344,888805462021.7964,313950508158.0088
1,Albania,ALB,87042.0,109511347200.0,292564795904.0,9917279744.0,21299675712.0,67234416960.0,1749953880.0,7073148928000.0,1172914716672.0,256328808448.0
2,Algeria,DZA,650105.0,692426072881.0,7154613289248.0,49720843366.3125,26169126141.5,303251554538.0,1721447815.734375,20839066612560.0,7777101828464.0,1094752326377.0
3,Angola,AGO,4400592.0,73710653.2097168,14750.321678161621,12440759.639221191,355495979.7659607,30955015.141501416,20897790.67169571,34546789331.71875,30750081963.570312,3203101324.609375
4,Argentina,ARG,9900129.0,15795457552913.422,7002658666479.577,3232536577115.996,1234621377677.0881,1554739074813.08,227728707005.56274,317243659711829.2,39266567287539.61,16430658092338.615
5,Armenia,ARM,144727.0,98324438272.0,480097315840.0,4756422432.0,8702232928.0,32678614240.0,399490426.0,2988155797504.0,891475130368.0,140017333248.0
6,Aruba,ABW,55661.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,969183.0,135824.375,12058.2646484375
7,Australia,AUS,12303693.0,2065993287201.9304,2139854878964.4158,618910189560.1106,23907781897.972687,47495686172.81488,6591235586.660249,165991902902175.9,4352284977584.759,7365846417050.773
8,Austria,AUT,196207.0,1113122783744.0,4055177156096.0,28746300113.0,178331829752.0,679134076620.0,4678172819.875,65869838090240.0,8557957266176.0,1954108840192.0
9,Azerbaijan,AZE,107218.0,76325188962.0,133205138416.0,2562457240.5625,980192444.8125,1705950929.375,31727714.03515625,2889764985088.0,405978769968.0,107495953972.0
10,Bahrain,BHR,22911.0,0.0,0.0,0.0,3187557.0,20830282.0,303197.71875,283926976.0,60281216.0,7902010.0
11,Bangladesh,BGD,169658.0,667952988800.0,2255065972656.0,36831167528.0,23973005376.0,80397824128.0,1359046147.0,143167949602816.0,15222167102336.0,2687864335872.0
12,Belarus,BLR,309350.0,185483762176.0,3104972521088.0,14496557412.0,87243224192.0,1140663584768.0,5724987344.0,25801910157312.0,4033325340672.0,1424271700992.0
13,Belgium,BEL,27729.0,173612654592.0,5030906822656.0,9678697472.0,28255681536.0,785130323968.0,1463812480.0,6414269153280.0,7967610765312.0,543343656960.0
