,name,iso3,GRIDCODE,X1_en,X1_va,X1_fo,X2_en,X2_va,X2_fo,X2+Y_en,X2+Y_va,X2+Y_fo
0,Afghanistan,AFG,1589158.0,59442634012.37988,426864575529.4414,2782236622.0944824,5286673732.575043,29610649358.23198,304006215.2841072,4106838583631.5,577823663261.7227,183214541500.0
1,Albania,ALB,87042.0,111664559616.0,300248265728.0,10085841344.0,15890531200.0,49657420544.0,1309058936.0,6912822575104.0,1127506075648.0,250585863168.0
2,Algeria,DZA,650105.0,496295898357.0,4920850410302.0,35913100285.625,35781307531.0625,364754203899.0,2416769526.046875,16082051496446.0,5617597593086.0,834681701534.0
3,Angola,AGO,4400592.0,13094149.447265625,180.150146484375,2896682.640930176,41261165.005859375,3644258.1748962402,2429434.668823242,5798110023.25,7001213902.21875,594613173.015625
4,Argentina,ARG,9900129.0,9270856519778.338,3684741464639.83,1977542834085.2231,2675176297059.4844,1607903878009.1858,552590482959.9885,231664271553645.0,27519557476297.0,12356555934747.078
5,Armenia,ARM,144727.0,77239912192.0,363795237888.0,3474476128.0,7329473904.0,26443624800.0,320904379.0,2496002523136.0,675790895104.0,115100490752.0
6,Aruba,ABW,55661.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0
7,Australia,AUS,12303693.0,779030399100.3818,669735413085.7651,156105991588.43094,47199104525.75747,8357028048.113322,36304314343.669136,64733368670870.8,1954709020907.125,2881833164338.5137
8,Austria,AUT,196207.0,1109465009280.0,4042608329040.0,28646064844.0,180129376000.0,687378672826.0,4751197352.75,65786040156160.0,8562468325376.0,1951718752384.0
9,Azerbaijan,AZE,107218.0,76325442322.0,133205686748.0,2562465788.4375,979939035.4375,1705402437.0,31719162.28125,2889764730752.0,405978221648.0,107495945604.0
10,Bahrain,BHR,22911.0,0.0,0.0,0.0,1602769.5,10459365.0,152360.34375,142739392.0,30295412.0,3971540.0
11,Bangladesh,BGD,169658.0,524930058656.0,1778484732690.0,28948643562.0,19954428028.0,68357332208.0,1105721072.25,113465205743616.0,11941878026032.0,2129121561408.0
12,Belarus,BLR,309350.0,154503868864.0,2583117610240.0,12119057692.0,75143451840.0,981315613184.0,4930869708.0,21692046327808.0,3410826379264.0,1200362109952.0
13,Belgium,BEL,27729.0,171094966272.0,4956212166656.0,9542579712.0,30773369856.0,859824914432.0,1599930752.0,6416786784256.0,8042305552384.0,543479709696.0
14,Belize,BLZ,106206.0,1220499388.0,2762342424.0,315204030.0,10866319289.75,22325386841.875,2527269400.890625,187004828376.0,60158333576.0,9020148191.0
15,Benin,BEN,229699.0,16173082942.0,2508689237.0,1345706360.5,532770228.28125,33586461.29687501,101421964.98583984,531118187518.0,30207093502.0,34787855862.0
16,Bolivia,BOL,2754741.0,11236781579.476562,13024862703.93164,2354936532.435547,34947058058.88574,30918155809.452637,7334011785.214844,558351608613.0625,102506420073.9375,45865372240.66089
