,name,iso3,GRIDCODE,X1_en,X1_va,X1_fo,X2_en,X2_va,X2_fo,X2+Y_en,X2+Y_va,X2+Y_fo,Z_en,Z_va,Z_fo
0,Afghanistan,AFG,1589158.0,149228126696.64774,882574620915.9155,7730505384.386145,4886698907.957031,43509586068.900604,227383061.91100883,13069084072954.0,1227364451671.5273,620487280478.6875,76200547946496.0,19313092449792.0,12506498559488.0
1,Albania,ALB,87042.0,38467968640.0,82847776256.0,3921348688.0,42099021536.0,128385740672.0,3519559158.0,4736925368320.0,820589502464.0,175760931840.0,3613244391424.0,881539526656.0,607954034688.0
2,Algeria,DZA,650105.0,1240221640842.0,13617069019392.0,87827105874.25,9379848064.875,76169868311.5,678622597.8984375,33635952999168.0,13914354096768.0,1814658936896.0,33075457253376.0,8127097196544.0,5502253988864.0
3,Angola,AGO,4400592.0,30519549957.46875,117104921.54628,2210731310.696411,11020166174.850426,819022157.141507,482571288.6791448,3142164652288.0,3232089077572.0,248021349778.5,48400272089088.0,12353752385280.0,7980609892608.0
4,Argentina,ARG,9900129.0,25825834684060.03,12224579697198.523,4921756399373.581,748135120416.0049,1760605504422.9624,117966245866.15265,475001171253029.4,59743425915570.875,24014685769596.137,47987445832672.0,11806939154024.0,8076267992976.0
5,Armenia,ARM,144727.0,217203769856.0,1046396597248.0,12235257936.0,10476317872.0,35668933312.0,479847827.5,5569492533248.0,1676692286464.0,314361277440.0,6555270807552.0,1600929447936.0,1098711019520.0
6,Aruba,ABW,55661.0,0.0,0.0,0.0,0.0,0.0,0.0,19833132.75,2779496.28125,246777.69140625,566783328256.0,138750312448.0,94967275520.0
7,Australia,AUS,12303693.0,3788829774463.283,5152107773920.827,997456701507.1454,107981664673.63297,287511774036.64294,29176862437.176888,301073998377438.25,9123923348688.537,12706662869971.125,23552817936229.625,5762739056279.641,3995172917537.586
8,Austria,AUT,196207.0,770171064448.0,3010557358248.0,20301150142.75,298298855672.0,1184743218210.0,8345917466.0625,54534046474240.0,8114393521280.0,1632857167872.0,8763915927552.0,2127508873216.0,1494852141056.0
9,Azerbaijan,AZE,107218.0,76389485429.5,133318748554.0,2564725265.921875,915891000.0,1592346248.0,29459631.5625,2889700662528.0,405865137824.0,107493680832.0,4729299058688.0,1148397082624.0,791753517056.0
10,Bahrain,BHR,22911.0,7693967.0,57336128.0,587415.5,3.011316473955361e-10,2.3036210716753658e-09,2.2166796176392722e-11,401345728.0,172185280.0,12584322.0,4404635238400.0,1053880745984.0,711924580352.0
11,Bangladesh,BGD,169658.0,843342556672.0,2774985973248.0,47278220768.0,7562566176.0,13576708064.0,545881038.0,172036112515072.0,18197047853056.0,3251648812032.0,80752527245312.0,20065237237760.0,13405579137024.0
12,Belarus,BLR,309350.0,186714469888.0,3126565763328.0,14591741108.0,86012513024.0,1119070281728.0,5629803784.0,25800679686144.0,4011732021248.0,1424176549888.0,5749647458304.0,1393020071936.0,980096295936.0
13,Belgium,BEL,27729.0,156083142656.0,4536714919936.0,8760357376.0,24497021952.0,693705080832.0,1318592064.0,5812031586304.0,6959626190848.0,492795002880.0,6465181188096.0,1578158653440.0,1101196951552.0
14,Belize,BLZ,106206.0,69340130317.0,134448694902.0,14456721852.625,33516730720.0,73229031232.0,8394833368.0,1829916356608.0,422123890688.0,71429133440.0,5299820445696.0,1332654215168.0,879285170176.0
