,iso3,long,lat,cur,SSP1,SSP3,SSP5
7972,TZA34054.0,-4.5,34.5,0.050064964917570426,0.053761825634635704,0.06470217775017233,0.05188016665980274
7973,TZA34055.0,-4.5,35.5,0.5609628474474322,0.5715751530567812,0.7464413666993235,0.3310861975915514
7974,TZA34056.0,-4.5,36.5,0.0057297952990925625,0.006043405573851413,0.007410997295709911,0.00587108571943332
7975,TZA34057.0,-4.5,37.5,0.022021977454476347,0.02392506996773428,0.02894312754238315,0.023417598163132495
7976,TZA34409.0,-5.5,29.5,21.188479545599442,22.780316560322714,27.213238713404124,12.116969025536436
7977,TZA34410.0,-5.5,30.5,0.07662018340286035,0.0774519737252984,0.0991399539513368,0.06776323060647937
7978,TZA34411.0,-5.5,31.5,0.13440758108204107,0.13458175695139504,0.16910936681015584,0.12437880093337633
7979,TZA34412.0,-5.5,32.5,2.179111648771128,2.241804076552567,2.7332856336102385,1.7566148607831291
7980,TZA34413.0,-5.5,33.5,0.31818978929516,0.3310073730300136,0.4035090628426056,0.3199640428243501
7981,TZA34414.0,-5.5,34.5,0.3803006225467687,0.3941656810494286,0.48235885858606814,0.38499744284684095
7982,TZA34415.0,-5.5,35.5,1.5280976977363847,1.594773990188836,1.949648196817373,1.2298387805606337
7983,TZA34416.0,-5.5,36.5,0.033484881982151854,0.03464407126039508,0.04217735459340582,0.03409288893694088
7984,TZA34417.0,-5.5,37.5,0.007776801952026548,0.00792611888868039,0.00974550931592214,0.007583065018666662
7985,TZA34418.0,-5.5,38.5,0.44883238461959757,0.4661867452511546,0.5728106883820997,0.42607789443848776
7986,TZA34419.0,-5.5,39.5,0.6005914257443147,0.6276124753387838,0.7696003337551564,0.526173651177719
7987,TZA34769.0,-6.5,29.5,1.0816664623380357,1.1201989773834702,1.3626781191439945,1.0125452862924205
7988,TZA34770.0,-6.5,30.5,2.3778022848456017,2.418239172942954,2.942692314662561,1.860786857492236
7989,TZA34771.0,-6.5,31.5,2.207808470086658,2.3379282261967997,2.895316525282814,0.886608552789359
7990,TZA34772.0,-6.5,32.5,2.460762284354615,2.6310723856322524,3.250785612659112,1.285272887856202
7991,TZA34774.0,-6.5,34.5,88.08340025019386,103.90323657442818,125.83699095186574,63.69330527342567
7992,TZA34775.0,-6.5,35.5,0.7551073596053903,0.8043780400315378,0.9773392636212512,0.6805588171411455
7993,TZA34776.0,-6.5,36.5,356.69024353543256,272.2468544828367,143.60029101079377,112.64831681468651
7994,TZA34777.0,-6.5,37.5,154.32080743016857,88.8685177811149,25.38583254950459,19.537622756361195
7995,TZA34778.0,-6.5,38.5,106.29875180397231,63.05963963186241,15.760258728418,12.19485233238469
7996,TZA34779.0,-6.5,39.5,237.30690497533013,65.01548338884598,10.78874675755706,8.328852736863125
7997,TZA35130.0,-7.5,30.5,20.676819103315502,12.035216778698429,5.678926001469156,4.382994247108243
7998,TZA35131.0,-7.5,31.5,9291.5908940833,1514.6861122217306,173.58487242448894,133.90792759624904
7999,TZA35132.0,-7.5,32.5,9777.780914207593,1288.3089130679512,244.538036346494,188.64816431665614
8000,TZA35133.0,-7.5,33.5,1568.7073699493446,623.9218226936413,48.766234183602414,37.54677018109399
8001,TZA35134.0,-7.5,34.5,-18060898304.0,14270.439556717774,93.15069957361759,71.70525578754693
8002,TZA35135.0,-7.5,35.5,417.7640191114814,252.91232868649786,74.15550097558861,47.427591952533696
8003,TZA35136.0,-7.5,36.5,8822.403818546125,1685.2470556345831,51.75223475999835,32.73901058549152
8004,TZA35137.0,-7.5,37.5,34948.406274414316,6409.032594296215,43.79495193207701,26.748486783383353
8005,TZA35138.0,-7.5,38.5,176.08945013805092,76.47109725142928,19.680446619621975,11.844224258779407
8006,TZA35139.0,-7.5,39.5,446.81445067749684,57.918666294696244,15.642458973792856,9.390012358615559
8007,TZA35490.0,-8.5,30.5,127.28630270072368,137.72356713314403,17.740813128290714,11.865496684976938
8008,TZA35491.0,-8.5,31.5,2295.9905077463454,998.4785061541845,102.95351954233415,77.04917375503801
8009,TZA35492.0,-8.5,32.5,158.874188929646,123.76516110767943,19.999493955293012,14.272268104434886
8010,TZA35493.0,-8.5,33.5,66.71232256274357,23.726758660641917,4.014233433599973,2.4351108488910547
8011,TZA35494.0,-8.5,34.5,302.27876420351635,60.663689666999055,3.0811580367302898,1.9235949772346574
8012,TZA35495.0,-8.5,35.5,4.341315185211949,3.936785390993415,3.905108507952796,2.3942556259529315
8013,TZA35496.0,-8.5,36.5,0.7842678523899829,1.6238330989841683,2.262508750620584,1.4881090789692741
8014,TZA35498.0,-8.5,38.5,2.234535678134512,2.9935482008547813,2.884199893083447,2.008254739858265
8015,TZA35499.0,-8.5,39.5,25.49699686683505,15.276264078678487,6.6294189113364625,5.413865544978869
8016,TZA35851.0,-9.5,31.5,3229.5445734832847,1734.8244893695646,1327.6531676646023,916.8226214589014
8017,TZA35855.0,-9.5,35.5,2033.0568112116155,612.3420354884389,177.20350585083378,114.33478339468704
8018,TZA35856.0,-9.5,36.5,1718.0036929799435,395.6690954461127,146.89125993703072,112.83565087117543
8019,TZA35857.0,-9.5,37.5,1563.1853542349786,369.0292959025734,51.852588119198344,39.74939740703312
8020,TZA35858.0,-9.5,38.5,892.4781911130423,239.03563222278146,30.045400892649248,26.094573474803852
8021,TZA35859.0,-9.5,39.5,36.99954933325351,25.11109891206625,37.36342897594128,25.45508868435562
8022,TZA36215.0,-10.5,35.5,8.405008236631431,4.008645069839278,5.513119088314173,3.7577616872530735
8023,TZA36216.0,-10.5,36.5,0.0,0.0,0.0,0.0
8024,TZA36217.0,-10.5,37.5,4.180877833523483,3.9146858974021157,3.6843833466642684,8.318709058538065
8025,TZA36218.0,-10.5,38.5,-452410240.0,16332.44158531284,16154.472575010937,-5476891648.0
8026,RWA32969.0,-1.5,29.5,1.483333500795651,1.6713962502944677,1.3969892389524565,1.2079750751845642
8027,RWA32970.0,-1.5,30.5,14.242941466517076,15.039403767362801,10.817697399378082,11.858490725569233
8028,BDI33328.0,-2.5,28.5,1.304727206487887,0.9742377591444137,1.3182882992500025,0.8026879624374155
8029,BDI33329.0,-2.5,29.5,3.2775547822845166,2.5091058722875763,1.8471229837858738,1.905310788461904
8030,BDI33330.0,-2.5,30.5,7.1509943226800425,6.07422437168666,2.0146064296641053,3.0591550194958343
8031,BDI33689.0,-3.5,29.5,26.006490117898508,25.80938274181584,9.637216442723922,15.188007810001949
8032,BDI33690.0,-3.5,30.5,32.29515403705846,15.295402732310986,4.712482546483301,6.373432478718853
8033,BDI34049.0,-4.5,29.5,-56537939968.0,-32086173696.0,154.47614811713237,964.8796230089986
8034,BDI34050.0,-4.5,30.5,208.25880772587948,139.76049303313002,9.100506710845318,28.94876486217301
8035,PNG33441.0,-2.5,141.5,49.382033309586106,63.6816082202382,16.556416973347897,25.458925731193798
8036,PNG33446.0,-2.5,146.5,18365427.07151146,23734676.93032021,302.310797256104,3641.577467655947
8037,PNG33447.0,-2.5,147.5,1960.9071963008676,2576.2980782361733,593.336185629321,1378.7330885300016
8038,PNG33450.0,-2.5,150.5,3.617644097250953,4.800620923839101,2.484297157894681,2.6517456185015864
8039,PNG33451.0,-2.5,151.5,4.588426555740716,6.136856547716123,3.311909693944539,3.50927532411815
8040,PNG33801.0,-3.5,141.5,428.96388461476164,532.9717367713513,132.57255912881857,185.56569035577093
8041,PNG33802.0,-3.5,142.5,0.30108170289180114,0.2884997815244781,0.4684428021334452,0.19101462992734156
8042,PNG33803.0,-3.5,143.5,0.31149011063959525,0.2785401480489104,0.37710146263538874,0.0321658245976382
8043,PNG33804.0,-3.5,144.5,0.6118442859973436,0.6322164530097724,0.7755945616703233,0.518228268541509
8044,PNG33811.0,-3.5,151.5,0.04899555910559687,0.054025358644565126,0.06454926472894032,0.05263249155056863
8045,PNG33812.0,-3.5,152.5,0.008138835808950107,0.008398018131675244,0.01031238180365231,0.008248858015429626
8046,PNG34161.0,-4.5,141.5,0.010433341161533306,0.011017464471826933,0.013466457437932575,0.010815160262741928
8047,PNG34162.0,-4.5,142.5,0.002598782174019931,0.0026879480650402426,0.003315833568180868,0.0026763811316799415
8048,PNG34163.0,-4.5,143.5,0.3014777001197325,0.31446030006047737,0.3819716653316571,0.3059819745635438
