,country,1850_lat_min,1850_long_min,1850_lat_max,1850_long_max,1900_lat_min,1900_long_min,1900_lat_max,1900_long_max,1910_lat_min,1910_long_min,1910_lat_max,1910_long_max,1945_lat_min,1945_long_min,1945_lat_max,1945_long_max,1980_lat_min,1980_long_min,1980_lat_max,1980_long_max,2015_lat_min,2015_long_min,2015_lat_max,2015_long_max,SSP1_lat_min,SSP1_long_min,SSP1_lat_max,SSP1_long_max,SSP3_lat_min,SSP3_long_min,SSP3_lat_max,SSP3_long_max,SSP5_lat_min,SSP5_long_min,SSP5_lat_max,SSP5_long_max
10,Bahrain,50.5,26.5,50.5,26.5,50.5,26.5,50.5,26.5,50.5,26.5,50.5,26.5,50.5,26.5,50.5,26.5,50.5,26.5,50.5,26.5,50.5,26.5,50.5,26.5,50.5,26.5,50.5,26.5,50.5,26.5,50.5,26.5,50.5,26.5,50.5,26.5
11,Bangladesh,92.5,20.5,91.5,21.5,90.5,24.5,92.5,20.5,90.5,24.5,92.5,20.5,90.5,24.5,92.5,20.5,89.5,24.5,92.5,20.5,89.5,24.5,92.5,20.5,89.5,24.5,92.5,20.5,89.5,24.5,92.5,20.5,89.5,24.5,92.5,20.5
12,Belarus,26.5,53.5,29.5,51.5,24.5,52.5,28.5,51.5,24.5,52.5,28.5,51.5,24.5,52.5,28.5,51.5,24.5,52.5,28.5,51.5,24.5,52.5,28.5,51.5,24.5,52.5,28.5,51.5,24.5,52.5,28.5,51.5,24.5,52.5,28.5,51.5
13,Belgium,3.5,51.5,4.5,51.5,3.5,51.5,4.5,51.5,3.5,51.5,4.5,51.5,3.5,51.5,4.5,51.5,3.5,51.5,4.5,51.5,3.5,51.5,4.5,51.5,3.5,51.5,4.5,51.5,3.5,51.5,4.5,51.5,3.5,51.5,4.5,51.5
14,Belize,-89.5,15.5,-88.5,16.5,-89.5,15.5,-88.5,16.5,-89.5,15.5,-88.5,16.5,-89.5,16.5,-88.5,16.5,-88.5,15.5,-88.5,16.5,-88.5,15.5,-88.5,16.5,-88.5,15.5,-88.5,16.5,-88.5,15.5,-88.5,16.5,-88.5,15.5,-88.5,16.5
15,Benin,1.5,10.5,1.5,7.5,1.5,10.5,1.5,7.5,1.5,10.5,1.5,7.5,1.5,8.5,2.5,12.5,1.5,7.5,2.5,12.5,1.5,7.5,1.5,8.5,1.5,7.5,1.5,8.5,1.5,7.5,1.5,8.5,1.5,7.5,1.5,8.5
16,Bolivia,-69.5,-11.5,-61.5,-15.5,-69.5,-11.5,-69.5,-14.5,-69.5,-11.5,-69.5,-14.5,-69.5,-11.5,-67.5,-14.5,-67.5,-11.5,-69.5,-11.5,-67.5,-11.5,-69.5,-11.5,-67.5,-11.5,-69.5,-11.5,-65.5,-12.5,-69.5,-11.5,-66.5,-12.5,-69.5,-11.5
17,Bosnia and Herzegovina,17.5,44.5,17.5,44.5,17.5,44.5,17.5,44.5,17.5,44.5,17.5,44.5,17.5,44.5,17.5,44.5,17.5,44.5,17.5,44.5,17.5,44.5,17.5,44.5,17.5,44.5,17.5,44.5,17.5,44.5,17.5,44.5,17.5,44.5,17.5,44.5
18,Botswana,23.5,-18.5,23.5,-18.5,23.5,-18.5,23.5,-18.5,23.5,-18.5,23.5,-18.5,23.5,-18.5,25.5,-21.5,23.5,-18.5,24.5,-18.5,23.5,-18.5,24.5,-18.5,23.5,-18.5,24.5,-18.5,23.5,-18.5,24.5,-20.5,23.5,-18.5,21.5,-20.5
19,Brazil,-60.5,5.5,-46.5,-7.5,-60.5,5.5,-45.5,-6.5,-60.5,5.5,-36.5,-5.5,-60.5,5.5,-47.5,-2.5,-60.5,5.5,-61.5,3.5,-60.5,5.5,-61.5,3.5,-60.5,5.5,-61.5,3.5,-60.5,5.5,-61.5,3.5,-60.5,5.5,-51.5,4.5
20,Brunei Darussalam,115.5,5.5,115.5,5.5,115.5,5.5,115.5,5.5,115.5,5.5,115.5,5.5,115.5,5.5,114.5,4.5,114.5,4.5,115.5,5.5,114.5,4.5,115.5,4.5,114.5,4.5,115.5,4.5,114.5,4.5,115.5,5.5,115.5,5.5,115.5,4.5
21,Bulgaria,27.5,41.5,23.5,42.5,24.5,42.5,23.5,42.5,25.5,42.5,23.5,42.5,27.5,41.5,23.5,42.5,27.5,41.5,23.5,42.5,27.5,41.5,23.5,42.5,27.5,41.5,23.5,42.5,27.5,41.5,23.5,42.5,27.5,41.5,23.5,42.5
22,Burkina Faso,-0.5,13.5,-1.5,12.5,-0.5,13.5,-1.5,12.5,-0.5,13.5,-1.5,12.5,0.5,12.5,-1.5,12.5,0.5,12.5,-1.5,12.5,0.5,12.5,-3.5,12.5,0.5,12.5,-3.5,12.5,0.5,12.5,-3.5,12.5,0.5,12.5,-3.5,12.5
23,Burma,96.5,26.5,96.5,25.5,96.5,26.5,97.5,22.5,96.5,26.5,97.5,22.5,97.5,26.5,96.5,26.5,97.5,26.5,97.5,18.5,95.5,20.5,97.5,26.5,95.5,20.5,97.5,26.5,95.5,20.5,97.5,26.5,95.5,21.5,97.5,26.5
24,Burundi,30.5,-4.5,29.5,-4.5,30.5,-2.5,30.5,-4.5,30.5,-2.5,30.5,-4.5,30.5,-2.5,30.5,-4.5,29.5,-2.5,30.5,-4.5,29.5,-2.5,30.5,-4.5,29.5,-2.5,30.5,-4.5,29.5,-2.5,28.5,-2.5,29.5,-2.5,30.5,-4.5
