,iso3,long,lat,SSP1,SSP3,SSP5
70,RUS10300.0,61.5,40.5,0.0,0.0,0.0
71,RUS10301.0,61.5,41.5,-0.001254666624283196,-0.001254666624283196,-0.001254666624283196
72,RUS10302.0,61.5,42.5,-7.113194456690466e-06,-7.113194456690466e-06,-7.113194456690466e-06
73,RUS10303.0,61.5,43.5,0.0,0.0,0.0
74,RUS10304.0,61.5,44.5,0.0,0.0,0.0
75,RUS10305.0,61.5,45.5,0.0,0.0,0.0
76,RUS10306.0,61.5,46.5,0.0,0.0,0.0
77,RUS10307.0,61.5,47.5,0.0,0.0,0.0
78,RUS10308.0,61.5,48.5,0.0,0.0,0.0
79,RUS10309.0,61.5,49.5,0.0,0.0,0.0
80,RUS10310.0,61.5,50.5,0.0,0.0,0.0
81,RUS10311.0,61.5,51.5,0.0,0.0,0.0
82,RUS10312.0,61.5,52.5,0.0,0.0,0.0
83,RUS10313.0,61.5,53.5,0.0,0.0,0.0
84,RUS10314.0,61.5,54.5,-0.012208437701712857,0.00809080569582605,-0.0696372431506667
85,RUS10325.0,61.5,65.5,-0.010994062516744544,0.004723246376178212,-0.07278848359025038
86,RUS10649.0,60.5,29.5,-0.0017461135269919662,-0.004346372522254155,-0.0250882026368097
87,RUS10650.0,60.5,30.5,-0.03076592361427607,-0.030820283035014197,-0.0873870675403592
88,RUS10651.0,60.5,31.5,-0.0906039497729352,-0.08273691299551521,-0.21807575949450797
89,RUS10652.0,60.5,32.5,0.0,0.0,0.0
90,RUS10653.0,60.5,33.5,0.0,0.0,0.0
91,RUS10654.0,60.5,34.5,0.0,0.0,0.0
92,RUS10655.0,60.5,35.5,0.0,0.0,-5.447731352581364e-06
93,RUS10656.0,60.5,36.5,-0.07297031422820587,-0.06341215937125512,-0.19120265266748954
94,RUS10657.0,60.5,37.5,-0.16843817736564265,-0.1444279547095893,-0.3164668395758431
95,RUS10658.0,60.5,38.5,0.008101640211890694,0.0074392357202358395,-0.026292473819882724
96,RUS10659.0,60.5,39.5,-0.042320817540705144,-0.0376424752375314,-0.1523077116576697
97,RUS10660.0,60.5,40.5,-0.06583621256194011,-0.06258676677132004,-0.1754925458656501
98,RUS10661.0,60.5,41.5,-0.2610327378500139,-0.25575615117657297,-0.30700800419065905
99,RUS10662.0,60.5,42.5,-0.0022212616930583403,-0.0011128572089220802,-0.026629304237277114
100,RUS10663.0,60.5,43.5,-0.05844616781165013,-0.05547546701454907,-0.12558916991624652
101,RUS10664.0,60.5,44.5,-0.02170817884126857,-0.01654413195979841,-0.11945144964267393
102,RUS10665.0,60.5,45.5,-0.07137741018191163,-0.07100534404483577,-0.08068510331307875
103,RUS10666.0,60.5,46.5,0.0,0.0,0.0
104,RUS10667.0,60.5,47.5,-0.0044776679354344455,-0.0044776679354344455,-0.0044776679354344455
105,RUS10668.0,60.5,48.5,0.0,0.0,0.0
106,RUS10669.0,60.5,49.5,0.0,0.0,0.0
107,RUS10670.0,60.5,50.5,0.0,0.0,0.0
108,RUS10671.0,60.5,51.5,0.0,0.0,0.0
109,RUS10672.0,60.5,52.5,0.0,0.0,0.0
110,RUS10673.0,60.5,53.5,0.0,0.0,0.0
111,RUS10674.0,60.5,54.5,0.0,0.0,0.0
112,RUS10675.0,60.5,55.5,0.0,0.0,0.0
113,RUS10676.0,60.5,56.5,0.0,0.0,0.0
114,RUS10677.0,60.5,57.5,0.0,0.0,0.0
115,RUS10680.0,60.5,60.5,0.0,0.0,0.0
116,RUS10684.0,60.5,64.5,0.0,0.0,0.0
117,RUS10686.0,60.5,66.5,0.0,0.0,0.0
118,RUS10687.0,60.5,67.5,0.0,0.0,0.0
119,RUS11007.0,59.5,27.5,0.0,0.0,0.0
120,RUS11008.0,59.5,28.5,0.0,0.0,0.0
121,RUS11009.0,59.5,29.5,0.0,0.0,0.0
122,RUS11010.0,59.5,30.5,0.0,0.0,0.0
123,RUS11011.0,59.5,31.5,0.0,0.0,0.0
124,RUS11012.0,59.5,32.5,0.0,0.0,0.0
125,RUS11013.0,59.5,33.5,0.0,0.0,0.0
126,RUS11014.0,59.5,34.5,0.0,0.0,0.0
127,RUS11015.0,59.5,35.5,0.0,0.0,0.0
128,RUS11016.0,59.5,36.5,0.0,0.0,0.0
129,RUS11017.0,59.5,37.5,0.0,0.0,0.0
130,RUS11018.0,59.5,38.5,0.0,0.0,0.0
131,RUS11019.0,59.5,39.5,0.0,0.0,0.0
132,RUS11020.0,59.5,40.5,0.0,0.0,0.0
133,RUS11021.0,59.5,41.5,0.0,0.0,0.0
134,RUS11022.0,59.5,42.5,0.0,0.0,0.0
135,RUS11023.0,59.5,43.5,0.0,0.0,0.0
136,RUS11024.0,59.5,44.5,0.0,0.0,0.0
137,RUS11025.0,59.5,45.5,0.027679062576212696,0.027679062576212696,0.027679062576212696
138,RUS11026.0,59.5,46.5,0.9552935444015266,-0.25629643804776003,-0.4972380487714929
139,RUS11027.0,59.5,47.5,7.513355885994706,0.000151425986313766,-0.4189086503258204
140,RUS11028.0,59.5,48.5,-0.0020855758892216816,-0.001958716750477966,-0.010486044040189647
141,RUS11029.0,59.5,49.5,0.012452379989036986,0.010533172144518176,0.003594893257379842
142,RUS11030.0,59.5,50.5,-0.024917573228486447,-0.023539276540796777,-0.11155983528453091
143,RUS11031.0,59.5,51.5,0.0,0.0,0.0
144,RUS11032.0,59.5,52.5,0.0,0.0,0.0
145,RUS11033.0,59.5,53.5,-0.00670387516129732,-0.00562873474908756,-0.10767090707535525
146,RUS11034.0,59.5,54.5,-0.0608710064886566,-0.04428513256626268,-0.2465786064715151
147,RUS11035.0,59.5,55.5,-0.051031643241816346,-0.046983580850537526,-0.16839958612054018
148,RUS11036.0,59.5,56.5,-0.008214940377127052,-0.005973749313048289,-0.08684938004728811
149,RUS11037.0,59.5,57.5,-0.0916853042068042,-0.08116159781080394,-0.2038177799222758
150,RUS11040.0,59.5,60.5,-0.006393831845157483,-0.006393831845157483,-0.027507461589172947
151,RUS11041.0,59.5,61.5,0.054284258018265134,0.052046853739031056,-0.018025064578369818
152,RUS11042.0,59.5,62.5,0.1273459933268647,0.08095173965969509,-0.31720634887266846
153,RUS11043.0,59.5,63.5,0.07334514466134469,0.06992126433064338,-0.10485448196524046
154,RUS11044.0,59.5,64.5,-0.10851978316707105,-0.10851978316707105,-0.2106052782028936
155,RUS11045.0,59.5,65.5,0.010665145194135632,0.018563375068243508,-0.006633203797080928
156,RUS11046.0,59.5,66.5,0.04878257229001022,0.054804871124136005,-0.0004450875321613541
157,RUS11047.0,59.5,67.5,0.020455552900949105,0.025287081646235773,-0.005254971758261141
158,RUS11048.0,59.5,68.5,3.449151251671237e-05,3.449151251671237e-05,0.0
159,RUS11060.0,59.5,80.5,0.0021309501450163357,0.0021309501450163357,0.001444900838708009
160,RUS11069.0,59.5,89.5,0.00010236210828703438,0.00010236210828703438,-0.004917688187602143
161,RUS11071.0,59.5,91.5,0.0007852278012722048,0.0007852278012722048,-0.00010683267741137715
162,RUS11079.0,59.5,99.5,0.0,0.0,0.0
163,RUS11367.0,58.5,27.5,0.0,0.0,0.0
164,RUS11368.0,58.5,28.5,6.953882786524615e-06,6.953882786524615e-06,-4.857930057123922e-07
165,RUS11369.0,58.5,29.5,-0.00020740438035363564,-0.00020740438035363564,-0.00020740438035363564
166,RUS11370.0,58.5,30.5,-1.0385002965939046e-05,-1.0385002965939046e-05,-1.0385002965939046e-05
167,RUS11371.0,58.5,31.5,0.0,0.0,0.0
168,RUS11372.0,58.5,32.5,0.0,0.0,0.0
169,RUS11373.0,58.5,33.5,0.0,0.0,0.0
170,RUS11374.0,58.5,34.5,0.0,0.0,0.0
171,RUS11375.0,58.5,35.5,0.0,0.0,0.0
172,RUS11376.0,58.5,36.5,0.0,0.0,0.0
173,RUS11377.0,58.5,37.5,0.0,0.0,0.0
174,RUS11378.0,58.5,38.5,0.0,0.0,0.0
175,RUS11379.0,58.5,39.5,0.0,0.0,0.0
176,RUS11380.0,58.5,40.5,9.549004969481857e-08,9.549004969481857e-08,0.0
177,RUS11381.0,58.5,41.5,1.0435107352978689e-05,1.0435107352978689e-05,0.0
178,RUS11382.0,58.5,42.5,0.0,0.0,0.0
179,RUS11383.0,58.5,43.5,0.0,0.0,0.0
180,RUS11384.0,58.5,44.5,0.0,0.0,0.0
181,RUS11385.0,58.5,45.5,0.0,0.0,0.0
182,RUS11386.0,58.5,46.5,0.0,0.0,0.0
183,RUS11387.0,58.5,47.5,-0.0018111286844575971,-0.0018111286844575971,-0.0018111286844575971
184,RUS11388.0,58.5,48.5,0.0,0.0,0.0
185,RUS11389.0,58.5,49.5,0.0,0.0,0.0
186,RUS11390.0,58.5,50.5,0.0,0.0,0.0
187,RUS11391.0,58.5,51.5,0.0,0.0,0.0
188,RUS11392.0,58.5,52.5,0.0,0.0,0.0
189,RUS11393.0,58.5,53.5,0.0,0.0,0.0
190,RUS11394.0,58.5,54.5,0.0,0.0,0.0
191,RUS11395.0,58.5,55.5,0.0,0.0,0.0
192,RUS11396.0,58.5,56.5,0.0,0.0,0.0
193,RUS11397.0,58.5,57.5,0.0,0.0,0.0
194,RUS11398.0,58.5,58.5,0.0,0.0,0.0
195,RUS11399.0,58.5,59.5,0.0,0.0,0.0
196,RUS11400.0,58.5,60.5,0.0,0.0,0.0
197,RUS11401.0,58.5,61.5,0.0,0.0,0.0
198,RUS11402.0,58.5,62.5,0.0,0.0,0.0
199,RUS11403.0,58.5,63.5,0.0,0.0,0.0
200,RUS11404.0,58.5,64.5,0.0,0.0,0.0
201,RUS11405.0,58.5,65.5,0.0,0.0,0.0
202,RUS11406.0,58.5,66.5,0.0,0.0,0.0
203,RUS11407.0,58.5,67.5,0.0,0.0,0.0
204,RUS11408.0,58.5,68.5,0.0,0.0,0.0
205,RUS11409.0,58.5,69.5,0.022203057949962527,0.005762150770796945,0.008505425891880195
206,RUS11415.0,58.5,75.5,0.5129731549475546,0.044702231287075664,0.044702231287075664
207,RUS11416.0,58.5,76.5,1.4449404908204877,-0.0034595745809003547,0.05603183200021042
208,RUS11417.0,58.5,77.5,0.7318876431141781,-0.10334848838326752,-0.04925683544394972
209,RUS11418.0,58.5,78.5,0.0,0.0,-9.453864039610238e-05
210,RUS11419.0,58.5,79.5,0.0030082786924911903,0.0030082786924911903,0.002168695560487471
211,RUS11420.0,58.5,80.5,0.0,0.0,0.0
212,RUS11421.0,58.5,81.5,0.3216020674725714,0.3216020674725714,0.561953935106079
213,RUS11422.0,58.5,82.5,0.017703596245672713,0.006062010164878475,0.011799138834607262
214,RUS11423.0,58.5,83.5,-0.022890032546854632,-0.02560063893351031,-0.16544758033245519
215,RUS11424.0,58.5,84.5,-0.0063851419000321395,-0.00692330031826216,-0.084641667782156
216,RUS11425.0,58.5,85.5,-0.00312999124974861,-0.015027971065957192,-0.07192650113034195
217,RUS11426.0,58.5,86.5,-6.407111910585764e-05,-0.0025706803677630944,-0.07304674162308192
218,RUS11428.0,58.5,88.5,-0.058529974358724327,-0.1129637881708533,-0.23750097117183094
219,RUS11430.0,58.5,90.5,-0.19153443622999045,-0.1852693761407548,-0.3481555516724363
220,RUS11431.0,58.5,91.5,0.0,0.0,0.0
221,RUS11432.0,58.5,92.5,-0.00321776899030732,-0.00321776899030732,-0.01655053316200181
222,RUS11433.0,58.5,93.5,-0.0018325309373638775,-0.0018325309373638775,-0.019915984094971546
223,RUS11436.0,58.5,96.5,-0.003413183906555407,-0.0034147743199080564,-0.021579722734432788
224,RUS11437.0,58.5,97.5,0.02610328899556562,0.024031946663995617,-0.1715005069826118
225,RUS11438.0,58.5,98.5,0.03677422907584931,0.031074141340270898,-0.0701746218329327
226,RUS11439.0,58.5,99.5,0.09067939443792626,0.09052721153709337,-0.10117311531453275
227,RUS11440.0,58.5,100.5,0.0,0.0,0.0
228,RUS11441.0,58.5,101.5,0.0006689782696145686,0.0006984599525951956,0.0
