,1850,1900,1910,1945,1980,2015,SSP1,SSP3,SSP5,long,lat
60,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,61.5,34.5
61,0.0,100.0,92.84,92.84,94.9,92.84,100.0,100.0,100.0,61.5,35.5
62,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,61.5,36.5
63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.5,37.5
64,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,61.5,38.5
65,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,61.5,39.5
66,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,61.5,40.5
67,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,61.5,41.5
68,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,61.5,42.5
69,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,61.5,43.5
70,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,61.5,44.5
71,0.0,100.0,100.0,100.0,100.0,100.0,99.9,99.9,99.9,61.5,45.5
72,0.0,100.0,100.0,100.0,100.0,100.0,99.99,99.99,99.99,61.5,46.5
73,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,61.5,47.5
74,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,61.5,48.5
75,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,61.5,49.5
76,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,61.5,50.5
77,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,61.5,51.5
78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.5,52.5
79,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,61.5,53.5
80,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,61.5,54.5
81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.5,65.5
82,100.0,91.96,80.15,73.3,92.16,100.0,100.0,100.0,100.0,60.5,-1.5
83,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,60.5,-0.5
84,96.08,61.37,53.31,53.31,80.83,93.42,92.28,94.18,86.92,60.5,4.5
85,98.36,68.4,41.07,34.43,93.48,98.96,98.19,99.33,91.33,60.5,5.5
86,75.63,61.79,56.03,55.23,75.48,80.79,80.69,80.47,78.89,60.5,10.5
87,65.84,60.35,54.89,53.67,62.38,63.14,61.2,61.18,57.67,60.5,11.5
88,55.05,54.27,53.12,52.81,53.27,54.16,49.16,49.6,42.26,60.5,12.5
89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.5,13.5
90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.5,14.5
91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.5,15.5
92,98.34,98.2,98.2,98.2,98.12,98.25,98.06,98.14,91.38,60.5,16.5
93,73.25,57.38,53.66,52.04,71.66,71.98,67.14,67.79,58.89,60.5,17.5
94,82.52,53.23,36.5,31.06,82.16,83.06,69.71,71.61,57.5,60.5,18.5
95,68.27,61.66,61.6,61.51,59.94,66.74,67.15,67.18,64.16,60.5,21.5
96,69.45,65.65,65.65,65.65,65.35,69.17,66.34,66.64,58.74,60.5,22.5
